model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC
DecisionTree,4,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,4,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,4,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,4,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,4,0,0.50761,0.50758,0.2,0.8163265306122449,0.18182,0.83333,0.01573
Xgboost,4,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,4,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,4,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045
KNN,4,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172
OneClassSVM,4,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,4,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,4,1,0.79725,0.78693,0.7,0.9183673469387755,0.63636,0.9375,0.5957
Xgboost,4,1,0.56618,0.55966,0.4,0.8333333333333334,0.18182,0.9375,0.16686
RandomForestClassifier,5,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,5,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,5,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,5,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,5,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,5,0,0.49716,0.49716,0.18181818181818182,0.8125,0.18182,0.8125,-0.00568
Xgboost,5,0,0.57994,0.57008,0.5,0.8363636363636363,0.18182,0.95833,0.21712
RandomForestClassifier,5,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,5,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
KNN,5,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,5,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,5,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,5,1,0.75918,0.74148,0.6666666666666666,0.9,0.54545,0.9375,0.52314
Xgboost,5,1,0.55303,0.55303,0.2727272727272727,0.8333333333333334,0.27273,0.83333,0.10606
RandomForestClassifier,6,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,6,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
KNN,6,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
OneClassSVM,6,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447
LocalOutlierFactor,6,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337
IsolationForest,6,0,0.40636,0.43182,0.14285714285714285,0.7741935483870968,0.36364,0.5,-0.10635
Xgboost,6,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
RandomForestClassifier,6,1,0.59786,0.71117,0.32142857142857145,0.9354838709677419,0.81818,0.60417,0.3294
DecisionTree,6,1,0.54096,0.54261,0.25,0.8297872340425532,0.27273,0.8125,0.08246
KNN,6,1,0.51837,0.51799,0.2222222222222222,0.82,0.18182,0.85417,0.03898
OneClassSVM,6,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951
LocalOutlierFactor,6,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194
IsolationForest,6,1,0.58659,0.67614,0.3076923076923077,0.9090909090909091,0.72727,0.625,0.27635
Xgboost,6,1,0.59224,0.58428,0.375,0.8431372549019608,0.27273,0.89583,0.19175
RandomForestClassifier,7,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081
DecisionTree,7,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873
