model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC,ATT
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.  0.6 1. ],[0.  0.1 0.4 0.4 1. ],0.48,3
OneClassSVM,0,0.60114,0.65,0.5882352941176471,1.0,1.0,0.3,0.42008,[0.  0.  0.  0.4 0.4 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.1 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1. ],0.39,3
LocalOutlierFactor,0,0.54887,0.55,0.5555555555555556,0.5454545454545454,0.5,0.6,0.1005,[0.  0.1 0.4 0.4 0.7 0.7 1.  1. ],[0.  0.  0.  0.6 0.6 0.8 0.8 1. ],0.58,3
IsolationForest,0,0.31034,0.45,0.0,0.47368421052631576,0.0,0.9,-0.22942,[0.  0.1 0.1 0.3 0.3 0.4 0.4 0.8 0.8 1.  1. ],[0.  0.  0.1 0.1 0.3 0.3 0.4 0.4 0.7 0.7 1. ],0.65,3
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.  0.2 0.4 0.4 0.6 0.7 0.7 0.7 0.9 1. ],[0.  0.1 0.3 0.3 0.3 0.5 0.5 0.6 0.8 1.  1.  1. ],0.425,3
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.9 1. ],[0.  0.2 0.7 1. ],0.5449999999999999,4
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.9 1. ],[0.  0.2 0.7 1. ],0.5449999999999999,4
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,4
OneClassSVM,0,0.48718,0.55,0.5294117647058824,0.6666666666666666,0.9,0.2,0.14003,[0.  0.1 0.9 1. ],[0.  0.2 0.7 1. ],0.5449999999999999,4
LocalOutlierFactor,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0. 1.],[0. 1.],0.5,4
IsolationForest,0,0.37322,0.45,0.3333333333333333,0.47058823529411764,0.1,0.8,-0.14003,[0.  0.8 0.9 1. ],[0.  0.5 0.8 1. ],0.645,4
Xgboost,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.9 1. ],[0.  0.2 0.7 1. ],0.5449999999999999,4
RandomForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.3 0.3 0.5 0.5 1. ],[0.  0.1 0.2 0.2 0.5 1. ],0.5700000000000001,5
DecisionTree,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.3 0.5 0.9 1. ],[0.  0.1 0.5 1.  1. ],0.525,5
KNN,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.  0.1 1. ],[0.  0.1 0.2 1. ],0.44500000000000006,5
OneClassSVM,0,0.64912,0.65,0.6363636363636364,0.6666666666666666,0.7,0.6,0.30151,[0.  0.1 0.2 0.2 0.5 0.5 0.6 0.6 0.9 1. ],[0.  0.  0.  0.6 0.6 0.7 0.7 0.9 1.  1. ],0.365,5
LocalOutlierFactor,0,0.3,0.3,0.3,0.3,0.3,0.3,-0.4,[0.  0.1 0.3 0.6 0.7 0.7 0.8 0.8 1.  1. ],[0.  0.  0.  0.1 0.1 0.3 0.3 0.6 0.6 1. ],0.825,5
IsolationForest,0,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.1 0.2 0.5 0.6 0.6 0.7 0.7 1.  1. ],[0.  0.  0.  0.1 0.1 0.2 0.2 0.9 0.9 1. ],0.6849999999999999,5
