model_name,iteration,fold,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR
Xgboost,12,1,0.52951,0.52841,0.25,0.8235294117647058,0.18182,0.875,0.06464,0.18181818181818182,0.125
RandomForestClassifier,13,0,0.4434,0.48958,0.0,0.8103448275862069,0.0,0.97917,-0.06286,0.0,0.02083333333333337
DecisionTree,13,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
KNN,13,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
OneClassSVM,13,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447,0.45454545454545453,0.1875
LocalOutlierFactor,13,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337,0.45454545454545453,0.4375
IsolationForest,13,0,0.38118,0.46023,0.16666666666666666,0.782608695652174,0.54545,0.375,-0.06352,0.5454545454545454,0.625
Xgboost,13,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
RandomForestClassifier,13,1,0.61184,0.72159,0.3333333333333333,0.9375,0.81818,0.625,0.34645,0.8181818181818182,0.375
DecisionTree,13,1,0.66947,0.76326,0.391304347826087,0.9444444444444444,0.81818,0.70833,0.42045,0.8181818181818182,0.29166666666666663
KNN,13,1,0.56554,0.56345,0.3,0.8367346938775511,0.27273,0.85417,0.13172,0.2727272727272727,0.14583333333333337
OneClassSVM,13,1,0.4381,0.65625,0.25,1.0,1.0,0.3125,0.27951,1.0,0.6875
LocalOutlierFactor,13,1,0.49263,0.60322,0.24242424242424243,0.8846153846153846,0.72727,0.47917,0.16194,0.7272727272727273,0.5208333333333333
IsolationForest,13,1,0.54615,0.64489,0.27586206896551724,0.9,0.72727,0.5625,0.22574,0.7272727272727273,0.4375
Xgboost,13,1,0.55329,0.54924,0.3333333333333333,0.8301886792452831,0.18182,0.91667,0.1269,0.18181818181818182,0.08333333333333337
RandomForestClassifier,14,0,0.56618,0.55966,0.4,0.8333333333333334,0.18182,0.9375,0.16686,0.18181818181818182,0.0625
DecisionTree,14,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
KNN,14,0,0.51374,0.52462,0.3333333333333333,0.8214285714285714,0.09091,0.95833,0.0873,0.09090909090909091,0.04166666666666663
OneClassSVM,14,0,0.61935,0.63352,0.35714285714285715,0.8666666666666667,0.45455,0.8125,0.24447,0.45454545454545453,0.1875
LocalOutlierFactor,14,0,0.46847,0.50852,0.19230769230769232,0.8181818181818182,0.45455,0.5625,0.01337,0.45454545454545453,0.4375
IsolationForest,14,0,0.39971,0.39299,0.09523809523809523,0.7631578947368421,0.18182,0.60417,-0.17408,0.18181818181818182,0.39583333333333337
Xgboost,14,0,0.52454,0.53504,0.5,0.8245614035087719,0.09091,0.97917,0.15081,0.09090909090909091,0.02083333333333337
