model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,THRESH
KNN,12,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 1. ],[0.  0.2 1. ],[2. 1. 0.]
OneClassSVM,12,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,12,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[],[],[]
IsolationForest,12,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,12,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.6 0.6 0.8 0.8 1. ],"[1.6136736  0.61367357 0.17990476 0.1522211  0.12402456 0.10157754
 0.07602561 0.03188601 0.00639021]"
RandomForest,13,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.6 1. ],[0.  0.4 1. ],[1.33333333 0.33333333 0.        ]
DecisionTree,13,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.28571429 0.27272727 0.09090909 0.        ]
KNN,13,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.62863855 0.62863855 0.3755345  0.21150425 0.18458298 0.11571382
 0.        ]"
OneClassSVM,13,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,13,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[],[],[]
IsolationForest,13,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,13,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.8612449  0.8612449  0.12717596 0.08372623 0.06831823 0.01565395
 0.0028887 ]"
RandomForest,14,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.2 0.6 0.8 1.  1.  1. ],[0.  0.  0.  0.  0.2 0.6 1. ],"[1.87962963 0.87962963 0.60935936 0.29269269 0.15060515 0.14795965
 0.02796077]"
DecisionTree,14,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.2        0.        ]
KNN,14,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.6 0.6 0.8 1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.70761148 0.70761148 0.48572106 0.36197252 0.27473108 0.13608557
 0.        ]"
OneClassSVM,14,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,14,0.375,0.4,0.42857142857142855,0.3333333333333333,0.6,0.2,-0.21822,[],[],[]
IsolationForest,14,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,14,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.7601907  0.76019067 0.19041106 0.11372358 0.04294225 0.01166149
 0.0029865 ]"
RandomForest,15,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.6 1. ],[0.  0.  0.6 1. ],[1.66666667 0.66666667 0.33333333 0.        ]
DecisionTree,15,0.67033,0.7,1.0,0.625,0.4,1.0,0.5,[0.  0.4 1. ],[0. 0. 1.],[2. 1. 0.]
KNN,15,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.62863855 0.62863855 0.3755345  0.21150425 0.18458298 0.11571382
 0.        ]"
OneClassSVM,15,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,15,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,15,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,15,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 1. ],"[1.8003778  0.8003779  0.63097924 0.11022181 0.08043201 0.03660646
 0.00270353]"
RandomForest,16,0.28571,0.4,0.0,0.4444444444444444,0.0,0.8,-0.33333,[0.  0.  0.2 1. ],[0.  0.2 0.8 1. ],[1.66666667 0.66666667 0.33333333 0.        ]
DecisionTree,16,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.25       0.        ]
KNN,16,0.375,0.4,0.3333333333333333,0.42857142857142855,0.2,0.6,-0.21822,[0.  0.  0.2 0.2 0.6 0.6 0.8 1. ],[0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.64534082 0.64534082 0.62871817 0.51204789 0.36305191 0.2356382
 0.10993552 0.        ]"
OneClassSVM,16,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,16,0.52381,0.6,0.5555555555555556,1.0,1.0,0.2,0.33333,[],[],[]
IsolationForest,16,0.67033,0.7,1.0,0.625,0.4,1.0,0.5,[],[],[]
Xgboost,16,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.6 0.6 1. ],"[1.8679292  0.86792916 0.42625856 0.12052569 0.02295292 0.01270235
 0.00242716]"
RandomForest,17,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.4 0.8 1.  1. ],[0.  0.  0.  0.2 0.6 1. ],[1.71428571 0.71428571 0.42857143 0.28571429 0.14285714 0.        ]
DecisionTree,17,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.5        0.4        0.25       0.        ]
KNN,17,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.4 0.4 0.8 0.8 1. ],"[1.60901365 0.60901365 0.38285381 0.21150029 0.1811253  0.10801894
 0.        ]"
OneClassSVM,17,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,17,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,17,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
Xgboost,17,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 1. ],"[1.7659433  0.7659433  0.54858315 0.11626393 0.10267973 0.03888151
 0.00393314]"
RandomForest,18,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.6 0.6 1.  1. ],[0.  0.  0.  0.8 0.8 1. ],[1.72991071 0.72991071 0.27157738 0.12395833 0.11770833 0.01688713]
DecisionTree,18,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.8 1.  1.  1. ],[0.  0.  0.2 0.2 0.8 1. ],[1.71428571 0.71428571 0.27272727 0.09090909 0.07894737 0.        ]
KNN,18,0.52381,0.6,1.0,0.5555555555555556,0.2,1.0,0.33333,[0.  0.2 0.2 1.  1. ],[0.  0.  0.8 0.8 1. ],[1.61344245 0.61344245 0.25944369 0.0859741  0.        ]
OneClassSVM,18,0.67033,0.7,0.625,1.0,1.0,0.4,0.5,[],[],[]
LocalOutlierFactor,18,0.69697,0.7,0.75,0.6666666666666666,0.6,0.8,0.40825,[],[],[]
IsolationForest,18,0.33333,0.5,0.5,,1.0,0.0,0.0,[],[],[]
Xgboost,18,0.45055,0.5,0.5,0.5,0.2,0.8,0.0,[0.  0.2 0.2 0.4 0.4 0.8 0.8 1.  1. ],[0.  0.  0.2 0.2 0.4 0.4 0.8 0.8 1. ],"[1.820893   0.820893   0.59551114 0.11784595 0.09757001 0.0634846
 0.02761058 0.02533468 0.00272391]"
RandomForest,19,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.  0.4 0.6 1. ],[0.  0.2 0.6 1. ],[1.4 0.4 0.2 0. ]
DecisionTree,19,0.79167,0.8,1.0,0.7142857142857143,0.6,1.0,0.65465,[0.  0.6 0.6 0.8 1.  1. ],[0.  0.  0.2 0.4 0.4 1. ],[1.71428571 0.71428571 0.33333333 0.27272727 0.09090909 0.        ]
